page_id,name,urlslug,id,align,eye,hair,sex,gsm,alive,appearances,first_appearance,year
2527,Katherine Pryde ,\/Katherine_Pryde_(Earth-616),Secret Identity,Good,Hazel Eyes,Brown Hair,Female,NA,Living Characters,886,Jan-80,1980
1970,Carol Danvers ,\/Carol_Danvers_(Earth-616),Public Identity,Good,Blue Eyes,Blond Hair,Female,NA,Living Characters,881,Mar-68,1968
37690,Jennifer Walters ,\/Jennifer_Walters_(Earth-616),Public Identity,Good,Green Eyes,Brown Hair,Female,NA,Living Characters,881,Feb-80,1980
3765,Emma Frost ,\/Emma_Frost_(Earth-616),Public Identity,Neutral,Blue Eyes,Brown Hair,Female,NA,Living Characters,880,Jan-80,1980
2312,Frank Castle ,\/Frank_Castle_(Earth-616),Public Identity,Neutral,Blue Eyes,Black Hair,Male,NA,Living Characters,878,Feb-74,1974
1265,Luke Cage ,\/Luke_Cage_(Earth-616),No Dual Identity,Good,Brown Eyes,Black Hair,Male,NA,Living Characters,856,Jun-72,1972
1677,Rogue (Anna Marie) ,\/Rogue_(Anna_Marie)_(Earth-616),Secret Identity,Good,Green Eyes,Auburn Hair,Female,NA,Living Characters,850,NA,NA
25222,Conan ,\/Conan_(Earth-616),No Dual Identity,Neutral,Blue Eyes,Black Hair,Male,NA,Living Characters,787,Oct-70,1970
6537,Joseph Robertson ,\/Joseph_Robertson_(Earth-616),No Dual Identity,Good,Brown Eyes,White Hair,Male,NA,Living Characters,752,Aug-67,1967
1592,Pietro Maximoff ,\/Pietro_Maximoff_(Earth-616),Public Identity,Good,Blue Eyes,Silver Hair,Male,NA,Living Characters,740,Mar-64,1964
1818,Hercules ,\/Hercules_(Earth-616),No Dual Identity,Good,Blue Eyes,Brown Hair,Male,Bisexual Characters,Living Characters,725,Oct-65,1965
1448,Victor von Doom ,\/Victor_von_Doom_(Earth-616),Public Identity,Bad,Brown Eyes,Brown Hair,Male,NA,Living Characters,721,Jul-62,1962
2081,Max Eisenhardt ,\/Max_Eisenhardt_(Earth-616),Public Identity,Neutral,Grey Eyes,Bald,Male,NA,Living Characters,709,Sep-63,1963
2307,Elizabeth Braddock ,\/Elizabeth_Braddock_(Earth-616),Secret Identity,Neutral,Blue Eyes,Purple Hair,Female,Bisexual Characters,Living Characters,708,Dec-76,1976
2556,Norrin Radd ,\/Norrin_Radd_(Earth-616),Public Identity,Good,Blue Eyes,Bald,Male,NA,Living Characters,696,Mar-66,1966
1740,Norman Osborn ,\/Norman_Osborn_(Earth-616),Public Identity,Bad,Blue Eyes,Auburn Hair,Male,NA,Living Characters,692,Jul-64,1964
8651,Eugene Thompson ,\/Eugene_Thompson_(Earth-616),Secret Identity,Good,Blue Eyes,Strawberry Blond Hair,Male,NA,Living Characters,689,Aug-62,1962
2009,Simon Williams ,\/Simon_Williams_(Earth-616),Public Identity,Good,Red Eyes,Grey Hair,Male,NA,Living Characters,686,Oct-64,1964
1276,Samuel Guthrie ,\/Samuel_Guthrie_(Earth-616),Secret Identity,Good,Blue Eyes,Blond Hair,Male,NA,Living Characters,657,Nov-82,1982
15823,James Buchanan Barnes ,\/James_Buchanan_Barnes_(Earth-616),Secret Identity,Good,Brown Eyes,Brown Hair,Male,NA,Living Characters,641,Mar-41,1941
1680,Remy LeBeau ,\/Remy_LeBeau_(Earth-616),Secret Identity,Good,Black Eyeballs,Brown Hair,Male,NA,Living Characters,636,Jul-90,1990
1866,Daniel Rand ,\/Daniel_Rand_(Earth-616),Secret Identity,Good,Blue Eyes,Blond Hair,Male,NA,Living Characters,618,May-74,1974
32498,Nathan Summers ,\/Nathan_Summers_(Earth-616),Public Identity,Neutral,Blue Eyes,White Hair,Male,NA,Living Characters,612,Jan-86,1986
1772,Elizabeth Brant ,\/Elizabeth_Brant_(Earth-616),No Dual Identity,Good,Brown Eyes,Brown Hair,Female,NA,Living Characters,599,Sep-63,1963
1896,Richard Jones ,\/Richard_Jones_(Earth-616),Secret Identity,Good,Brown Eyes,Brown Hair,Male,NA,Living Characters,590,May-62,1962
1496,Edwin Jarvis ,\/Edwin_Jarvis_(Earth-616),No Dual Identity,Good,Blue Eyes,White Hair,Male,NA,Living Characters,567,Nov-64,1964
1802,Alexander Summers ,\/Alexander_Summers_(Earth-616),Public Identity,Good,Blue Eyes,Blond Hair,Male,NA,Living Characters,558,Mar-69,1969
1811,Patricia Walker ,\/Patricia_Walker_(Earth-616),Secret Identity,Good,Blue Eyes,Red Hair,Female,NA,Living Characters,550,Nov-44,1944
1836,Human Torch (Android) ,\/Human_Torch_(Android)_(Earth-616),Public Identity,Good,Blue Eyes,Blond Hair,Male,NA,Living Characters,548,Oct-39,1939
2042,Loki Laufeyson ,\/Loki_Laufeyson_(Earth-616),No Dual Identity,Neutral,Green Eyes,Black Hair,Genderfluid,Bisexual Characters,Living Characters,532,Aug-49,1949
1643,Franklin Nelson ,\/Franklin_Nelson_(Earth-616),No Dual Identity,Good,Blue Eyes,Bald,Male,NA,Living Characters,528,Apr-64,1964
1285,Brian Braddock ,\/Brian_Braddock_(Earth-616),Public Identity,Good,Blue Eyes,Blond Hair,Male,NA,Living Characters,528,Oct-76,1976
1453,Otto Octavius ,\/Otto_Octavius_(Earth-616),Secret Identity,Neutral,Hazel Eyes,Brown Hair,Male,NA,Deceased Characters,526,Jul-63,1963
6194,James Rhodes ,\/James_Rhodes_(Earth-616),Secret Identity,Good,Brown Eyes,Brown Hair,Male,NA,Living Characters,525,Jan-79,1979
1487,Timothy Dugan ,\/Timothy_Dugan_(Earth-616),Public Identity,Good,Blue Eyes,Red Hair,Male,NA,Deceased Characters,517,May-63,1963
1380,Crystalia Amaquelin ,\/Crystalia_Amaquelin_(Earth-616),Public Identity,Good,Green Eyes,Strawberry Blond Hair,Female,NA,Living Characters,512,Dec-65,1965
1613,Samuel Wilson ,\/Samuel_Wilson_(Earth-616),Public Identity,Good,Brown Eyes,Black Hair,Male,NA,Living Characters,512,Sep-69,1969
1931,Wilson Fisk ,\/Wilson_Fisk_(Earth-616),Public Identity,Bad,Blue Eyes,Bald,Male,NA,Living Characters,503,Jul-67,1967
1596,Odin Borson ,\/Odin_Borson_(Earth-616),Public Identity,Neutral,Blue Eyes,White Hair,Male,NA,Living Characters,502,Oct-62,1962
1409,Deadpool (Wade Wilson),\/Deadpool_(Wade_Wilson),Secret Identity,Neutral,Brown Eyes,Bald,Male,Transvestites,Living Characters,500,Feb-91,1991
1187,Dane Whitman ,\/Dane_Whitman_(Earth-616),Secret Identity,Good,Brown Eyes,Brown Hair,Male,NA,Living Characters,478,Dec-67,1967
1741,Harold Osborn ,\/Harold_Osborn_(Earth-616),No Dual Identity,Good,Blue Eyes,Brown Hair,Male,NA,Living Characters,474,Dec-65,1965
68416,Franklin Richards ,\/Franklin_Richards_(Earth-616),No Dual Identity,Good,Blue Eyes,Blond Hair,Male,NA,Living Characters,473,Nov-68,1968
2589,Jessica Drew ,\/Jessica_Drew_(Earth-616),Secret Identity,Good,Green Eyes,Auburn Hair,Female,NA,Living Characters,471,Feb-77,1977
2626,Roberto da Costa ,\/Roberto_da_Costa_(Earth-616),Secret Identity,Good,Brown Eyes,Black Hair,Male,NA,Living Characters,464,Nov-82,1982
2007,Rahne Sinclair ,\/Rahne_Sinclair_(Earth-616),Secret Identity,Good,Green Eyes,Red Hair,Female,NA,Living Characters,448,Nov-82,1982
1130,Elizabeth Ross ,\/Elizabeth_Ross_(Earth-616),Public Identity,Good,Blue Eyes,Black Hair,Female,NA,Living Characters,446,May-62,1962
2278,Lorna Dane ,\/Lorna_Dane_(Earth-616),Secret Identity,Good,Green Eyes,Green Hair,Female,NA,Living Characters,433,Oct-68,1968
67048,Blaine Colt ,\/Blaine_Colt_(Earth-616),Public Identity,NA,Blue Eyes,Blond Hair,Male,NA,Deceased Characters,429,NA,NA
1705,Johnathon Blaze ,\/Johnathon_Blaze_(Earth-616),Secret Identity,Good,Blue Eyes,Reddish Blond Hair,Male,NA,Living Characters,426,Aug-72,1972
2550,Sif ,\/Sif_(Earth-616),No Dual Identity,Good,Blue Eyes,Black Hair,Female,NA,Living Characters,422,Mar-64,1964
2365,Red Hulk (Thaddeus Ross),\/Red_Hulk_(Thaddeus_Ross),Public Identity,Neutral,Blue Eyes,Black Hair,Male,NA,Living Characters,415,May-62,1962
1900,Jubilation Lee ,\/Jubilation_Lee_(Earth-616),Secret Identity,Good,Brown Eyes,Black Hair,Female,NA,Living Characters,408,May-89,1989
2420,Volstagg ,\/Volstagg_(Earth-616),Public Identity,Good,Blue Eyes,Red Hair,Male,NA,Living Characters,406,Aug-65,1965
1127,Balder Odinson ,\/Balder_Odinson_(Earth-616),Secret Identity,Good,Blue Eyes,Brown Hair,Male,NA,Deceased Characters,403,Oct-62,1962
1676,Galactus ,\/Galactus_(Earth-616),Secret Identity,Neutral,Brown Eyes,No Hair,Male,NA,Living Characters,390,Mar-66,1966
1395,Danielle Moonstar ,\/Danielle_Moonstar_(Earth-616),Secret Identity,Good,Brown Eyes,Black Hair,Female,NA,Living Characters,388,Nov-82,1982
2183,Marc Spector ,\/Marc_Spector_(Earth-616),Secret Identity,Good,Brown Eyes,Brown Hair,Male,NA,Living Characters,387,Aug-75,1975
1782,Gwendolyne Stacy ,\/Gwendolyne_Stacy_(Earth-616),No Dual Identity,Good,Blue Eyes,Blond Hair,Female,NA,Deceased Characters,384,Dec-65,1965
2137,Medusalith Amaquelin ,\/Medusalith_Amaquelin_(Earth-616),Public Identity,Good,Green Eyes,Red Hair,Female,NA,Living Characters,382,Mar-65,1965
2374,Sabretooth (Victor Creed),\/Sabretooth_(Victor_Creed),Secret Identity,Bad,Amber Eyes,Blond Hair,Male,NA,Living Characters,382,Aug-77,1977
2077,Illyana Rasputina ,\/Illyana_Rasputina_(Earth-616),Secret Identity,Neutral,Blue Eyes,Blond Hair,Female,NA,Living Characters,380,May-75,1975
2344,Johann Shmidt ,\/Johann_Shmidt_(Earth-616),Public Identity,Bad,Blue Eyes,Blond Hair,Male,NA,Deceased Characters,376,Aug-41,1941
1616,Fandral ,\/Fandral_(Earth-616),Secret Identity,Good,Blue Eyes,Blond Hair,Male,NA,Deceased Characters,375,Aug-65,1965
1131,Sean Cassidy ,\/Sean_Cassidy_(Earth-616),Secret Identity,Neutral,Green Eyes,Strawberry Blond Hair,Male,NA,Living Characters,374,Jan-67,1967
2487,Thomas Raymond ,\/Thomas_Raymond_(Earth-616),Secret Identity,Good,Blue Eyes,Black Hair,Male,NA,Living Characters,373,Sep-40,1940
1572,Uatu ,\/Uatu_(Earth-616),Public Identity,Good,Blue Eyes,Bald,Male,NA,Deceased Characters,373,Apr-63,1963
2239,Richard Rider ,\/Richard_Rider_(Earth-616),Public Identity,Good,Brown Eyes,Brown Hair,Male,NA,Deceased Characters,373,Sep-76,1976
1827,Hogun ,\/Hogun_(Earth-616),Public Identity,Good,Grey Eyes,Black Hair,Male,NA,Living Characters,371,Aug-65,1965
55878,Raven Darkholme ,\/Raven_Darkholme_(Earth-616),Secret Identity,Bad,Yellow Eyes,Red Hair,Female,Bisexual Characters,Living Characters,371,Apr-78,1978
2173,Barbara Morse ,\/Barbara_Morse_(Earth-616),Secret Identity,Good,Blue Eyes,Blond Hair,Female,NA,Living Characters,368,Jun-71,1971
1179,Blackagar Boltagon ,\/Blackagar_Boltagon_(Earth-616),No Dual Identity,Good,Blue Eyes,Black Hair,Male,NA,Living Characters,366,Dec-65,1965
2392,Brunnhilde ,\/Brunnhilde_(Earth-616),Secret Identity,Good,Blue Eyes,Blond Hair,Female,NA,Living Characters,361,Dec-70,1970
1404,Alison Blaire ,\/Alison_Blaire_(Earth-616),Public Identity,Good,Blue Eyes,Strawberry Blond Hair,Female,NA,Living Characters,353,Feb-80,1980
18186,Venom (Symbiote) ,\/Venom_(Symbiote)_(Earth-616),Known to Authorities Identity,Neutral,Variable Eyes,No Hair,Agender,NA,Living Characters,348,May-84,1984
1586,John Walker ,\/John_Walker_(Earth-616),Secret Identity,Good,Blue Eyes,Blond Hair,Male,NA,Living Characters,346,Nov-86,1986
2440,Greer Grant ,\/Greer_Grant_(Earth-616),Public Identity,Good,Green Eyes,Black Hair,Female,NA,Living Characters,342,Nov-72,1972
2185,Karla Sofen ,\/Karla_Sofen_(Earth-616),Public Identity,Neutral,Blue Eyes,Blond Hair,Female,NA,Living Characters,340,Dec-75,1975
2382,William Baker ,\/William_Baker_(Earth-616),Secret Identity,Neutral,Brown Eyes,Brown Hair,Male,NA,Living Characters,338,Sep-63,1963
1300,Sharon Carter ,\/Sharon_Carter_(Earth-616),Public Identity,Good,Blue Eyes,Blond Hair,Female,NA,Living Characters,332,Mar-66,1966
1180,Felicia Hardy ,\/Felicia_Hardy_(Earth-616),Public Identity,Bad,NA,Blond Hair,Female,NA,Living Characters,332,Jul-79,1979
1901,Cain Marko ,\/Cain_Marko_(Earth-616),Public Identity,Neutral,Blue Eyes,Red Hair,Male,NA,Living Characters,329,Jul-65,1965
37751,Monica Rambeau ,\/Monica_Rambeau_(Earth-616),Secret Identity,Good,Brown Eyes,Black Hair,Female,NA,Living Characters,327,NA,NA
20978,Maria Hill ,\/Maria_Hill_(Earth-616),No Dual Identity,Good,Brown Eyes,Black Hair,Female,NA,Living Characters,325,Apr-05,2005
1161,Ben Urich ,\/Ben_Urich_(Earth-616),No Dual Identity,Good,Brown Eyes,Brown Hair,Male,NA,Living Characters,324,Jul-78,1978
2182,Heather Douglas ,\/Heather_Douglas_(Earth-616),Secret Identity,Good,Blue Eyes,Bald,Female,Bisexual Characters,Living Characters,323,Jan-73,1973
100209,Millicent Collins ,\/Millicent_Collins_(Earth-616),Public Identity,NA,Blue Eyes,Blond Hair,Female,NA,Living Characters,321,Dec-45,1945
1973,James Proudstar ,\/James_Proudstar_(Earth-616),Secret Identity,Good,Brown Eyes,Black Hair,Male,NA,Living Characters,320,Jun-84,1984
1633,Angelica Jones ,\/Angelica_Jones_(Earth-616),Known to Authorities Identity,Good,Green Eyes,Red Hair,Female,NA,Living Characters,319,May-85,1985
11857,Edward Brock ,\/Edward_Brock_(Earth-616),Public Identity,Neutral,Black Eyes,Blond Hair,Male,NA,Living Characters,318,Sep-86,1986
2513,MacDonald Gargan ,\/MacDonald_Gargan_(Earth-616),Secret Identity,Bad,Brown Eyes,Bald,Male,NA,Living Characters,317,Dec-64,1964
2146,Mephisto ,\/Mephisto_(Earth-616),No Dual Identity,Bad,White Eyes,Black Hair,Male,NA,Living Characters,316,Dec-68,1968
7630,Tabitha Smith ,\/Tabitha_Smith_(Earth-616),Secret Identity,Good,Blue Eyes,Blond Hair,Female,NA,Living Characters,316,Nov-85,1985
2238,Jean-Paul Beaubier ,\/Jean-Paul_Beaubier_(Earth-616),Secret Identity,Good,Blue Eyes,Black Hair,Male,Homosexual Characters,Living Characters,313,Apr-79,1979
1706,Daniel Ketch ,\/Daniel_Ketch_(Earth-616),Secret Identity,Neutral,Green Eyes,Brown Hair,Male,NA,Living Characters,311,May-90,1990
1460,Neena Thurman ,\/Neena_Thurman_(Earth-616),Secret Identity,Good,Blue Eyes,Black Hair,Female,NA,Living Characters,310,Mar-92,1992
2010,Wong ,\/Wong_(Earth-616),No Dual Identity,Good,Brown Eyes,Bald,Male,NA,Living Characters,306,Jul-63,1963
2456,Thanos ,\/Thanos_(Earth-616),No Dual Identity,Bad,Red Eyes,No Hair,Male,NA,Living Characters,306,Feb-73,1973
15282,Shang-Chi ,\/Shang-Chi_(Earth-616),No Dual Identity,Good,Brown Eyes,Black Hair,Male,NA,Living Characters,296,Dec-73,1973
4704,Alicia Masters ,\/Alicia_Masters_(Earth-616),No Dual Identity,Good,Brown Eyes,Strawberry Blond Hair,Female,NA,Living Characters,293,Nov-62,1962
5708,Robert Baldwin ,\/Robert_Baldwin_(Earth-616),Secret Identity,Good,Blue Eyes,Blond Hair,Male,NA,Living Characters,293,Sep-88,1988
1902,Vance Astrovik ,\/Vance_Astrovik_(Earth-616),Public Identity,Good,Hazel Eyes,Brown Hair,Male,NA,Living Characters,290,Jul-75,1975
6633,Wendell Vaughn ,\/Wendell_Vaughn_(Earth-616),Secret Identity,Good,Blue Eyes,Blond Hair,Male,NA,Living Characters,290,Jan-78,1978
100716,Chili Storm ,\/Chili_Storm_(Earth-616),Public Identity,NA,Green Eyes,Red Hair,Female,Homosexual Characters,Living Characters,284,Oct-48,1948
4565,Abner Jenkins ,\/Abner_Jenkins_(Earth-616),Public Identity,Good,Brown Eyes,Brown Hair,Male,NA,Living Characters,284,Aug-64,1964
1505,Elektra Natchios ,\/Elektra_Natchios_(Earth-616),Secret Identity,Neutral,Blue Eyes,Black Hair,Female,NA,Living Characters,280,Jan-81,1981
1256,Bullseye (Lester) ,\/Bullseye_(Lester)_(Earth-616),Secret Identity,Bad,Blue Eyes,Blond Hair,Male,NA,Living Characters,277,Mar-76,1976
119507,Forge ,\/Forge_(Earth-616),Public Identity,Good,Brown Eyes,Black Hair,Male,NA,Living Characters,276,Aug-84,1984
9106,Virginia Potts ,\/Virginia_Potts_(Earth-616),No Dual Identity,Good,Green Eyes,Red Hair,Female,NA,Living Characters,274,Sep-63,1963
2383,Walter Langkowski ,\/Walter_Langkowski_(Earth-616),Secret Identity,Good,Blue Eyes,Blond Hair,Male,NA,Living Characters,273,Apr-79,1979
1733,Gorgon ,\/Gorgon_(Earth-616),Secret Identity,Good,Brown Eyes,Brown Hair,Male,NA,Living Characters,272,Nov-65,1965
37689,James Madrox ,\/James_Madrox_(Earth-616),Public Identity,Good,Brown Eyes,Brown Hair,Male,NA,Living Characters,271,Feb-75,1975
1808,Heimdall ,\/Heimdall_(Earth-616),Secret Identity,Good,Grey Eyes,Brown Hair,Male,NA,Living Characters,270,Oct-62,1962
2558,Theresa Cassidy ,\/Theresa_Cassidy_(Earth-616),Secret Identity,Good,Green Eyes,Red Hair,Female,NA,Living Characters,267,Apr-81,1981
1565,Laura Kinney ,\/Laura_Kinney_(Earth-616),Secret Identity,Good,Green Eyes,Black Hair,Female,NA,Living Characters,265,Feb-04,2004
33447,Arthur Douglas ,\/Arthur_Douglas_(Earth-616),Secret Identity,Good,Blue Eyes,Brown Hair,Male,NA,Living Characters,264,Feb-73,1973
2511,Peter Parker (Ben Reilly) ,\/Peter_Parker_(Ben_Reilly)_(Earth-616),Secret Identity,Good,Hazel Eyes,Blond Hair,Male,NA,Deceased Characters,263,Oct-75,1975
1971,Warlock (Technarch) ,\/Warlock_(Technarch)_(Earth-616),Secret Identity,Good,Black Eyes,No Hair,Male,NA,Living Characters,261,Aug-84,1984
1903,Kevin Plunder ,\/Kevin_Plunder_(Earth-616),Public Identity,Good,Blue Eyes,Blond Hair,Male,NA,Living Characters,260,Mar-65,1965
1445,Leonard Samson ,\/Leonard_Samson_(Earth-616),Public Identity,Good,Brown Eyes,Green Hair,Male,NA,Deceased Characters,260,Jul-71,1971
2582,Melissa Gold ,\/Melissa_Gold_(Earth-616),Secret Identity,Good,Green Eyes,Blond Hair,Female,NA,Living Characters,260,Aug-79,1979
2037,Lockheed ,\/Lockheed_(Earth-616),Secret Identity,Good,NA,No Hair,Male,NA,Living Characters,260,Feb-83,1983
1935,Mercedes Knight ,\/Mercedes_Knight_(Earth-616),Public Identity,Good,Brown Eyes,Black Hair,Female,NA,Living Characters,259,Mar-72,1972
2060,Moira Kinross ,\/Moira_Kinross_(Earth-616),No Dual Identity,Good,Blue Eyes,Brown Hair,Female,NA,Deceased Characters,259,Dec-75,1975
1915,Karnak ,\/Karnak_(Earth-616),Secret Identity,Good,Blue Eyes,Black Hair,Male,NA,Deceased Characters,257,Dec-65,1965
2204,Namorita Prentiss ,\/Namorita_Prentiss_(Earth-616),Public Identity,Good,Blue Eyes,Blond Hair,Female,NA,Deceased Characters,257,Jun-72,1972
2038,Lockjaw ,\/Lockjaw_(Earth-616),Secret Identity,Good,Brown Eyes,Brown Hair,Male,NA,Living Characters,255,Dec-65,1965
1029,Adam Warlock ,\/Adam_Warlock_(Earth-616),No Dual Identity,Good,White Eyes,Gold Hair,Male,NA,Living Characters,252,Sep-67,1967
2407,Heather McNeil ,\/Heather_McNeil_(Earth-616),Public Identity,Neutral,Green Eyes,Red Hair,Female,NA,Living Characters,252,Nov-80,1980
2034,Curtis Connors ,\/Curtis_Connors_(Earth-616),Public Identity,Neutral,Red Eyes,No Hair,Male,NA,Living Characters,250,Nov-63,1963
2097,Theodore Sallis ,\/Theodore_Sallis_(Earth-616),Secret Identity,Good,Red Eyes,No Hair,Male,NA,Living Characters,249,May-71,1971
2421,Adrian Toomes ,\/Adrian_Toomes_(Earth-616),Public Identity,Bad,Hazel Eyes,Bald,Male,NA,Living Characters,248,May-63,1963
1514,Amora ,\/Amora_(Earth-616),Public Identity,Bad,Green Eyes,Blond Hair,Female,NA,Living Characters,247,Apr-64,1964
1335,Clea ,\/Clea_(Earth-616),No Dual Identity,Good,Blue Eyes,White Hair,Female,NA,Living Characters,247,Nov-64,1964
1289,Mar-Vell ,\/Mar-Vell_(Earth-616),Public Identity,Good,Blue Eyes,Blond Hair,Male,NA,Deceased Characters,245,Dec-67,1967
2309,Eugene Judd ,\/Eugene_Judd_(Earth-616),Public Identity,Good,Brown Eyes,Bald,Male,NA,Living Characters,245,Aug-83,1983
1813,Daimon Hellstrom ,\/Daimon_Hellstrom_(Earth-616),No Dual Identity,Neutral,Red Eyes,Red Hair,Male,NA,Living Characters,242,Sep-73,1973
76396,John Jonah Jameson III ,\/John_Jonah_Jameson_III_(Earth-616),No Dual Identity,Good,Brown Eyes,Auburn Hair,Male,NA,Living Characters,240,Mar-63,1963
2497,Triton ,\/Triton_(Earth-616),No Dual Identity,Good,Green Eyes,No Hair,Male,NA,Living Characters,240,Dec-65,1965
2138,Meggan Puceanu ,\/Meggan_Puceanu_(Earth-616),Secret Identity,Good,NA,NA,Female,NA,Living Characters,240,Dec-83,1983
6517,Robert Reynolds ,\/Robert_Reynolds_(Earth-616),Secret Identity,Neutral,Blue Eyes,Blond Hair,Male,NA,Living Characters,240,Sep-00,2000
2351,Aleksei Sytsevich ,\/Aleksei_Sytsevich_(Earth-616),Secret Identity,Bad,Brown Eyes,Brown Hair,Male,NA,Deceased Characters,239,Oct-66,1966
15903,Santo Vaccarro ,\/Santo_Vaccarro_(Earth-616),Secret Identity,Good,White Eyes,No Hair,Male,NA,Living Characters,238,Sep-03,2003
2335,Jonathan Clay ,\/Jonathan_Clay_(Earth-616),Secret Identity,Good,Blue Eyes,Red Hair,Male,Homosexual Characters,Living Characters,237,Aug-60,1960
